mean_B,mean_G,mean_R,std_B,std_G,std_R,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_bin_10,lbp_bin_11,lbp_bin_12,lbp_bin_13,lbp_bin_14,lbp_bin_15,lbp_bin_16,lbp_bin_17,lbp_bin_18,lbp_bin_19,lbp_bin_20,lbp_bin_21,lbp_bin_22,lbp_bin_23,lbp_bin_24,lbp_bin_25,lbp_bin_26,lbp_bin_27,lbp_bin_28,lbp_bin_29,lbp_bin_30,lbp_bin_31,lbp_bin_32,lbp_bin_33,lbp_bin_34,lbp_bin_35,lbp_bin_36,lbp_bin_37,lbp_bin_38,lbp_bin_39,lbp_bin_40,lbp_bin_41,lbp_bin_42,lbp_bin_43,lbp_bin_44,lbp_bin_45,lbp_bin_46,lbp_bin_47,lbp_bin_48,lbp_bin_49,lbp_bin_50,lbp_bin_51,lbp_bin_52,lbp_bin_53,lbp_bin_54,lbp_bin_55,lbp_bin_56,lbp_bin_57,contrast,dissimilarity,homogeneity,energy,correlation,edge_strength,label
52.59991455078125,59.14215087890625,76.00982666015625,37.126218578650445,45.975797127896456,65.3778210554187,0.03009033203125,0.04815673828125,0.0374755859375,0.0921630859375,0.158935546875,0.1630859375,0.062255859375,0.05914306640625,0.26568603515625,0.0830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.96155265748033,4.6098056102362195,0.44105019895990955,0.13836347491926623,0.9838304343489827,41.854766512513706,0
63.88128662109375,73.93341064453125,93.85821533203125,46.62040109487033,49.59381175107937,51.15065616500743,0.04620361328125,0.0595703125,0.035400390625,0.1082763671875,0.22235107421875,0.16253662109375,0.06005859375,0.085205078125,0.11676025390625,0.1036376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.26236466535437,6.111281988188979,0.3406848814947759,0.040038081183610956,0.9761825269943339,53.642173641898,0
81.52618408203125,88.34918212890625,103.46044921875,42.591268589899656,50.01072475862902,63.934767080166,0.01043701171875,0.0308837890625,0.0257568359375,0.1092529296875,0.33502197265625,0.21807861328125,0.05133056640625,0.04095458984375,0.136474609375,0.04180908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.64880659448818,4.832369586614172,0.3609643289018726,0.04352066360540604,0.9815761499289228,52.31275535838881,0
50.06976318359375,64.99871826171875,96.3616943359375,22.312682264499177,27.518050464822007,44.920490874984196,0.00921630859375,0.0291748046875,0.02276611328125,0.1005859375,0.250732421875,0.19573974609375,0.04730224609375,0.04107666015625,0.263427734375,0.03997802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9613065944882,3.421813484251968,0.4824396568428583,0.15263181486619384,0.9738268488416087,39.11162723918347,0
89.96044921875,83.84954833984375,87.021728515625,71.805279691643,69.15266938552084,75.41856358317715,0.056640625,0.06451416015625,0.0458984375,0.110595703125,0.208251953125,0.1473388671875,0.06512451171875,0.07452392578125,0.1038818359375,0.12322998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.5007997047244,9.31329970472441,0.24212943165341544,0.041027683612365105,0.9665678629012149,74.76614314983942,0
193.1326904296875,171.10205078125,166.77691650390625,47.037481114298565,40.75154073119409,50.94759152205087,0.007568359375,0.0272216796875,0.02069091796875,0.12042236328125,0.30694580078125,0.241455078125,0.05792236328125,0.051025390625,0.1229248046875,0.0438232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.53758612204726,3.779835137795277,0.44297916710053964,0.05812024021226079,0.978595137121279,43.738844354097665,0
39.62640380859375,56.2841796875,101.063232421875,24.78221080276103,36.043817649263204,48.63071374186931,0.08685302734375,0.08526611328125,0.0609130859375,0.0965576171875,0.1468505859375,0.10357666015625,0.06268310546875,0.08831787109375,0.1068115234375,0.16217041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.63010580708664,9.544352854330711,0.13882334757826556,0.016262278762954663,0.9269822432249102,65.08522411521588,0
80.1728515625,71.8291015625,97.8179931640625,42.34923027582118,54.763532795034415,76.08018089024843,0.01397705078125,0.0296630859375,0.024169921875,0.11553955078125,0.26116943359375,0.1846923828125,0.0516357421875,0.0484619140625,0.22833251953125,0.0423583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.98837352362206,3.945927657480316,0.47460088083756,0.06609301036635329,0.9888827589914113,46.064734943728695,0
113.59564208984375,96.3919677734375,86.96746826171875,64.09580599952933,51.48399610003723,51.9391861356274,0.03314208984375,0.0537109375,0.035400390625,0.11883544921875,0.210693359375,0.1513671875,0.05596923828125,0.0703125,0.1866455078125,0.08392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.96905757874018,7.619771161417322,0.36520342042770804,0.06142727089499826,0.9515118495384999,77.53421853306742,0
110.37994384765625,143.0897216796875,163.20721435546875,40.72809473542922,36.945637214695346,37.96731728526252,0.04986572265625,0.05438232421875,0.04620361328125,0.1295166015625,0.2686767578125,0.16748046875,0.06317138671875,0.05694580078125,0.061279296875,0.10247802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.84399606299218,8.622539370078742,0.21113136595661383,0.022426139457363554,0.9074835281843653,67.16571950954335,0
